iso3,unclassified,budget_support,curriculum,infrastructure,teacher_training
TTO,0.014334179598655525,0.9420857034266835,0,0.003055649047561331,0.040524467927099704
TUN,0.9342778592486602,0.0013008684501910014,1.648045463577253e-4,0.06055233082836346,0.0037041369264274935
TUR,0.675172240176368,0.06941290532239902,0.01571878998735454,0.17900596083421375,0.06069010367966477
TUV,0.47969715499629006,0.10745941481218935,0.006557903931582626,0.20362602919657097,0.20265949706336692
TZA,0.5592433814340103,0.07549921562689639,0.00302543845534303,0.14348021222060892,0.21875175226314145
UGA,0.6880813763492367,0.040306673366213804,0.005203083888550938,0.10793267095165371,0.15847619544434485
UKR,0.941182148690772,0.002711338236260468,3.942428610468985e-4,0.030161950154117406,0.02555032005780322
URY,0.48051612545189343,0.06502233781148087,2.2390111047533145e-4,0.033311978246661815,0.4209256573794885
UZB,0.6552637974746953,0.07358045230631018,0.011715155297554736,0.22008507195574722,0.0393555229656926
VCT,0.4888952230401397,0.0639127146388308,0.009948140641897934,0.3361404220433625,0.1011034996357691
VEN,0.9038166908470351,0.00245508061676584,3.4624609743636596e-5,0.022738219916575445,0.07095538400987997
VNM,0.7454625628712398,0.049830598154127805,0.0028386057245926894,0.11235402182937843,0.0895142114206613
VUT,0.5013444931768818,0.17375771202306065,9.895974545656512e-4,0.1590583864588313,0.16484981088666062
WLF,0.9807375040199762,0.003204311975575417,1.9482459281433589e-4,0.013852648761669991,0.0020107106499642063
WSM,0.6114834480694912,0.09902790397423027,0.001177465316938745,0.17077121499117903,0.1175399676481608
XKX,0.7729508656170676,0.018684951360259553,0.009641780011224298,0.10779687424822415,0.09092552876322438
YEM,0.7173406394689287,0.07183701767222875,8.21902233698582e-6,0.14596619502746117,0.06484792880904441
ZAF,0.6573003225091674,0.1402844811703813,0.0028871741043998422,0.07311630425434032,0.12641171796171122
ZMB,0.632800142518999,0.18401396061571948,4.276412697959691e-4,0.03721375237058116,0.14554450322490436
ZWE,0.7994497030396497,0.01299585694581138,0.0024477925709188828,0.0497257330604499,0.13538091438317018
